business_day,month,day_of_week,spend_in_minutes,num_outgoing_emails
6/3/2024,June,Monday,0,0
6/4/2024,June,Tuesday,0,0
6/5/2024,June,Wednesday,90,38
6/6/2024,June,Thursday,0,0
6/7/2024,June,Friday,50,12
6/10/2024,June,Monday,60,16
6/11/2024,June,Tuesday,70,22
6/12/2024,June,Wednesday,30,7
6/13/2024,June,Thursday,0,0
6/14/2024,June,Friday,0,0
6/17/2024,June,Monday,75,23
6/18/2024,June,Tuesday,45,12
6/20/2024,June,Thursday,90,24
6/21/2024,June,Friday,30,12
6/24/2024,June,Monday,30,12
6/25/2024,June,Tuesday,40,11
6/26/2024,June,Wednesday,11,2
6/27/2024,June,Thursday,0,0
6/28/2024,June,Friday,0,0
7/1/2024,July,Monday,0,0
7/2/2024,July,Tuesday,0,0
7/3/2024,July,Wednesday,0,0
7/5/2024,July,Friday,120,64
7/8/2024,July,Monday,0,0
7/9/2024,July,Tuesday,57,24
7/10/2024,July,Wednesday,8,3
7/11/2024,July,Thursday,0,0
7/12/2024,July,Friday,0,0
7/15/2024,July,Monday,150,44
7/16/2024,July,Tuesday,45,4
7/17/2024,July,Wednesday,0,0
7/18/2024,July,Thursday,0,0
7/19/2024,July,Friday,0,0
7/22/2024,July,Monday,0,0
7/23/2024,July,Tuesday,240,58
7/24/2024,July,Wednesday,0,0
7/25/2024,July,Thursday,0,0
7/26/2024,July,Friday,0,0
7/29/2024,July,Monday,0,0
7/30/2024,July,Tuesday,0,0
7/31/2024,July,Wednesday,0,0
8/1/2024,August,Thursday,0,0
8/2/2024,August,Friday,0,0
8/5/2024,August,Monday,0,0
8/6/2024,August,Tuesday,0,0
8/7/2024,August,Wednesday,0,0
8/8/2024,August,Thursday,0,0
8/9/2024,August,Friday,220,38
8/12/2024,August,Monday,260,60
8/13/2024,August,Tuesday,60,11
8/14/2024,August,Wednesday,0,0
8/15/2024,August,Thursday,0,0
8/16/2024,August,Friday,0,0
8/19/2024,August,Monday,0,0
8/20/2024,August,Tuesday,155,54
8/21/2024,August,Wednesday,30,12
8/22/2024,August,Thursday,0,0
8/23/2024,August,Friday,0,0
8/26/2024,August,Monday,5,1
8/27/2024,August,Tuesday,60,23
8/28/2024,August,Wednesday,0,0
8/29/2024,August,Thursday,0,0
8/30/2024,August,Friday,0,0
9/3/2024,September,Tuesday,0,0
9/4/2024,September,Wednesday,0,0
9/5/2024,September,Thursday,270,51
9/6/2024,September,Friday,0,0
